"Date","Price","Open","High","Low","Vol.","Change %"
"05/02/2021","56,607.3","57,795.1","57,795.1","56,315.6","0.05K","-2.06%"
"05/01/2021","57,795.1","57,724.1","58,153.2","57,262.9","0.05K","0.12%"
"04/30/2021","57,724.1","53,541.4","57,724.1","53,478.8","0.07K","7.81%"
"04/29/2021","53,541.4","54,752.2","54,862.6","52,924.0","0.06K","-2.21%"
"04/28/2021","54,752.2","55,009.7","55,590.8","54,351.4","0.07K","-0.47%"
"04/27/2021","55,009.7","53,993.9","55,171.5","53,433.5","0.08K","1.88%"
"04/26/2021","53,993.9","48,980.7","54,192.2","48,980.7","0.10K","10.24%"
"04/25/2021","48,980.7","50,094.4","50,248.1","48,615.2","0.06K","-2.22%"
"04/24/2021","50,094.4","51,086.1","51,086.1","49,424.8","0.06K","-1.94%"
"04/23/2021","51,086.1","51,713.8","51,713.8","47,900.3","0.13K","-1.21%"
"04/22/2021","51,713.8","53,767.8","55,011.5","51,695.2","0.12K","-3.82%"
"04/21/2021","53,767.8","56,372.2","56,372.2","53,767.8","0.07K","-4.62%"
"04/20/2021","56,371.4","55,609.4","56,891.2","53,962.7","0.08K","1.37%"
"04/19/2021","55,609.4","56,182.4","57,094.9","55,491.1","0.08K","-1.02%"
"04/18/2021","56,182.4","60,005.6","60,005.6","54,557.5","0.11K","-6.44%"
"04/17/2021","60,049.2","61,359.4","62,315.9","60,049.2","0.07K","-2.14%"
"04/16/2021","61,359.4","63,197.7","63,356.8","60,328.2","0.07K","-2.91%"
"04/15/2021","63,197.7","62,964.4","63,472.6","62,500.0","0.05K","0.37%"
"04/14/2021","62,964.4","63,517.7","64,477.9","62,142.6","0.08K","-0.87%"
"04/13/2021","63,517.7","59,871.9","63,517.7","59,871.9","0.09K","6.09%"
"04/12/2021","59,871.9","59,953.8","60,723.0","59,842.3","0.07K","-0.14%"
"04/11/2021","59,953.8","59,769.8","60,199.6","59,611.0","0.05K","0.31%"
"04/10/2021","59,769.8","58,135.5","60,916.4","58,135.5","0.10K","2.81%"
"04/09/2021","58,135.5","58,050.0","58,545.7","57,963.6","0.05K","0.15%"
"04/08/2021","58,050.0","55,911.6","58,050.0","55,911.6","0.04K","3.82%"
"04/07/2021","55,911.6","57,979.6","57,979.6","55,813.0","0.08K","-3.57%"
"04/06/2021","57,979.6","59,100.0","59,149.7","57,778.3","0.07K","-1.88%"
"04/05/2021","59,089.7","58,182.0","59,089.7","56,998.6","0.08K","1.56%"
"04/04/2021","58,182.0","57,031.9","58,232.4","57,031.9","0.04K","2.02%"
"04/03/2021","57,031.9","58,960.8","59,650.0","57,031.9","0.06K","-3.27%"
"04/02/2021","58,960.8","58,750.0","59,683.1","58,731.9","0.08K","0.36%"
"04/01/2021","58,750.0","58,772.4","59,224.5","58,644.8","0.06K","-0.04%"
"03/31/2021","58,772.4","58,798.2","59,499.0","57,886.8","0.08K","-0.04%"
"03/30/2021","58,798.2","57,655.4","59,120.6","57,260.8","0.07K","1.98%"
"03/29/2021","57,655.4","55,768.2","58,131.1","55,173.1","0.09K","3.38%"
"03/28/2021","55,768.2","55,813.7","56,257.9","55,000.0","0.04K","-0.08%"
"03/27/2021","55,813.7","55,043.9","56,366.4","54,023.8","0.04K","1.48%"
"03/26/2021","54,997.1","51,344.3","54,997.1","51,344.3","0.06K","7.11%"
"03/25/2021","51,344.3","52,317.7","52,950.9","50,665.9","0.11K","-1.88%"
"03/24/2021","52,328.1","54,362.3","56,845.3","52,328.1","0.12K","-3.74%"
"03/23/2021","54,362.3","54,119.7","55,697.9","53,623.3","0.06K","0.44%"
"03/22/2021","54,125.5","57,394.8","58,070.0","54,125.5","0.07K","-5.70%"
"03/21/2021","57,399.9","58,104.4","58,460.1","55,919.9","0.06K","-1.21%"
"03/20/2021","58,104.4","58,087.3","59,264.9","58,087.3","0.05K","0.03%"
"03/19/2021","58,087.3","57,655.4","59,123.1","56,982.3","0.06K","0.75%"
"03/18/2021","57,655.4","58,800.0","59,043.5","57,655.4","0.08K","-1.95%"
"03/17/2021","58,800.0","56,877.0","58,800.0","54,917.1","0.10K","3.38%"
"03/16/2021","56,877.0","55,664.7","56,877.0","54,350.0","0.08K","2.18%"
"03/15/2021","55,664.7","59,023.9","60,103.3","55,664.7","0.10K","-5.71%"
"03/14/2021","59,034.7","61,176.0","61,204.3","59,034.7","0.07K","-3.50%"
"03/13/2021","61,176.0","57,338.5","61,176.0","56,526.2","0.08K","6.69%"
"03/12/2021","57,338.5","57,679.3","57,679.3","55,913.7","0.10K","-0.59%"
"03/11/2021","57,679.3","55,840.7","57,718.0","54,546.6","0.11K","3.29%"
"03/10/2021","55,840.7","54,872.4","56,878.0","53,438.8","0.17K","1.76%"
"03/09/2021","54,872.4","52,302.7","54,872.4","52,198.5","0.18K","4.97%"
"03/08/2021","52,273.2","50,976.5","52,273.2","49,555.1","0.06K","2.54%"
"03/07/2021","50,976.5","48,924.6","51,150.0","48,924.6","0.06K","4.19%"
"03/06/2021","48,924.6","48,700.0","48,924.6","47,500.0","0.04K","0.46%"
"03/05/2021","48,700.0","48,380.9","48,931.8","46,500.0","0.07K","0.66%"
"03/04/2021","48,380.9","50,363.2","51,526.9","48,127.5","0.12K","-3.94%"
"03/03/2021","50,363.2","48,414.1","52,272.9","48,122.9","0.09K","4.03%"
"03/02/2021","48,414.1","49,583.2","49,583.2","47,367.9","0.08K","-2.36%"
"03/01/2021","49,583.2","45,149.4","49,583.2","45,149.4","0.09K","9.82%"
"02/28/2021","45,149.4","46,141.9","46,271.8","43,392.0","0.11K","-2.15%"
"02/27/2021","46,141.9","46,354.0","47,685.8","46,141.9","0.08K","-0.46%"
"02/26/2021","46,354.0","47,070.8","47,900.0","46,075.0","0.18K","-1.52%"
"02/25/2021","47,070.8","49,613.7","50,993.8","47,070.8","0.14K","-5.13%"
"02/24/2021","49,613.7","48,909.3","50,753.0","48,000.6","0.13K","1.44%"
"02/23/2021","48,909.3","54,058.4","54,058.4","47,452.8","0.33K","-9.53%"
"02/22/2021","54,058.4","57,381.7","57,381.7","51,923.9","0.28K","-5.79%"
"02/21/2021","57,381.7","55,868.8","57,672.9","55,868.8","0.13K","2.69%"
"02/20/2021","55,879.3","55,875.4","57,121.1","55,512.3","0.17K","0.01%"
"02/19/2021","55,875.4","51,581.0","55,875.4","51,309.2","0.17K","8.33%"
"02/18/2021","51,581.0","52,058.4","52,204.1","51,511.7","0.11K","-0.92%"
"02/17/2021","52,058.4","49,919.9","52,307.5","49,919.9","0.15K","6.89%"
"02/16/2021","48,701.8","47,915.6","49,600.0","47,915.6","0.14K","1.64%"
"02/15/2021","47,915.6","48,631.0","48,631.0","46,875.8","0.12K","-1.47%"
"02/14/2021","48,631.1","47,149.6","49,167.3","47,149.6","0.16K","3.14%"
"02/13/2021","47,149.6","47,335.1","47,726.0","46,726.0","0.12K","-0.39%"
"02/12/2021","47,335.1","47,942.7","48,395.3","47,016.6","0.23K","-1.27%"
"02/11/2021","47,942.7","44,824.7","47,966.6","44,379.8","0.18K","6.96%"
"02/10/2021","44,824.7","46,518.4","46,778.4","44,717.1","0.17K","-3.64%"
"02/09/2021","46,518.4","46,317.6","47,779.7","45,917.3","0.20K","0.43%"
"02/08/2021","46,317.6","38,790.4","46,317.6","38,181.5","0.28K","19.38%"
"02/07/2021","38,800.0","39,233.0","39,347.9","38,059.5","0.14K","-1.10%"
"02/06/2021","39,233.0","38,267.5","40,511.1","38,267.5","0.18K","2.52%"
"02/05/2021","38,267.5","36,945.6","38,267.5","36,775.7","0.11K","3.58%"
"02/04/2021","36,946.2","37,597.4","37,984.1","36,727.1","0.16K","-1.73%"
"02/03/2021","37,597.4","35,480.7","37,597.4","35,480.7","0.15K","5.97%"
"02/02/2021","35,480.7","33,568.8","35,712.8","33,568.8","0.17K","5.70%"
"02/01/2021","33,568.8","33,115.1","34,134.2","32,601.8","0.16K","1.37%"
"01/31/2021","33,115.1","34,230.1","34,230.1","32,606.5","0.15K","-3.26%"
"01/30/2021","34,230.1","34,255.5","34,347.5","33,444.6","0.15K","0.01%"
"01/29/2021","34,228.1","33,354.4","37,800.0","32,576.7","0.53K","2.62%"
"01/28/2021","33,354.4","30,350.0","33,354.4","30,350.0","0.16K","9.90%"
"01/27/2021","30,350.0","32,511.9","32,511.9","29,717.3","0.15K","-6.65%"
"01/26/2021","32,511.9","32,271.3","32,534.6","31,355.4","0.14K","0.75%"
"01/25/2021","32,271.3","32,238.8","34,644.6","32,238.8","0.21K","0.10%"
"01/24/2021","32,238.8","32,072.8","32,832.7","31,661.4","0.11K","0.52%"
"01/23/2021","32,072.8","32,941.8","32,941.8","31,856.1","0.12K","-2.70%"
